==== LOG START ====
[1763917954950 ms] POS 50.000 50.000
[1763917954951 ms] VEL 0.000 0.000
[1763917954972 ms] POS 50.000 50.000
[1763917955045 ms] VEL 0.000 0.000
[1763917955068 ms] POS 50.000 50.000
[1763917955068 ms] VEL 0.000 0.000
[1763917955089 ms] POS 50.000 50.000
[1763917955092 ms] VEL 0.000 0.000
[1763917955115 ms] POS 50.000 50.000
[1763917955116 ms] VEL 0.000 0.000
[1763917955137 ms] POS 50.000 50.000
[1763917955137 ms] VEL 0.000 0.000
[1763917955159 ms] POS 50.000 50.000
[1763917955159 ms] VEL 0.000 0.000
[1763917955180 ms] POS 50.000 50.000
[1763917955181 ms] VEL 0.000 0.000
[1763917955202 ms] POS 50.000 50.000
[1763917955203 ms] VEL 0.000 0.000
[1763917955225 ms] POS 50.000 50.000
[1763917955225 ms] VEL 0.000 0.000
[1763917955247 ms] POS 50.000 50.000
[1763917955248 ms] VEL 0.000 0.000
[1763917955270 ms] POS 50.000 50.000
[1763917955271 ms] VEL 0.000 0.000
[1763917955293 ms] POS 50.000 50.000
[1763917955296 ms] VEL 0.000 0.000
[1763917955320 ms] POS 50.000 50.000
[1763917955324 ms] VEL 0.000 0.000
[1763917955350 ms] POS 50.000 50.000
[1763917955352 ms] VEL 0.000 0.000
[1763917955379 ms] POS 50.000 50.000
[1763917955381 ms] VEL 0.000 0.000
[1763917955402 ms] POS 50.000 50.000
[1763917955403 ms] VEL 0.000 0.000
[1763917955426 ms] POS 50.000 50.000
[1763917955430 ms] VEL 0.000 0.000
[1763917955452 ms] POS 50.000 50.000
[1763917955453 ms] VEL 0.000 0.000
[1763917955475 ms] POS 50.000 50.000
[1763917955476 ms] VEL 0.000 0.000
[1763917955497 ms] POS 50.000 50.000
[1763917955498 ms] VEL 0.000 0.000
[1763917955519 ms] POS 50.000 50.000
[1763917955520 ms] VEL 0.000 0.000
[1763917955541 ms] POS 50.000 50.000
[1763917955542 ms] VEL 0.000 0.000
[1763917955564 ms] POS 50.000 50.000
[1763917955565 ms] VEL 0.000 0.000
[1763917955587 ms] POS 50.000 50.000
[1763917955589 ms] VEL 0.000 0.000
[1763917955612 ms] POS 50.000 50.000
[1763917955613 ms] VEL 0.000 0.000
[1763917955635 ms] POS 50.000 50.000
[1763917955636 ms] VEL 0.000 0.000
[1763917955660 ms] POS 50.000 50.000
[1763917955663 ms] VEL 0.000 0.000
[1763917955684 ms] POS 50.000 50.000
[1763917955686 ms] VEL 0.000 0.000
[1763917955711 ms] POS 50.000 50.000
[1763917955712 ms] VEL 0.000 0.000
[1763917955733 ms] POS 50.000 50.000
[1763917955734 ms] VEL 0.000 0.000
[1763917955756 ms] POS 50.000 50.000
[1763917955758 ms] VEL 0.000 0.000
[1763917955779 ms] POS 50.000 50.000
[1763917955781 ms] VEL 0.000 0.000
[1763917955803 ms] POS 50.000 50.000
[1763917955803 ms] VEL 0.000 0.000
[1763917955824 ms] POS 50.000 50.000
[1763917955825 ms] VEL 0.000 0.000
[1763917955846 ms] POS 50.000 50.000
[1763917955847 ms] VEL 0.000 0.000
[1763917955868 ms] POS 50.000 50.000
[1763917955871 ms] VEL 0.000 0.000
[1763917955893 ms] POS 50.000 50.000
[1763917955894 ms] VEL 0.000 0.000
[1763917955916 ms] POS 50.000 50.000
[1763917955916 ms] VEL 0.000 0.000
[1763917955938 ms] POS 50.000 50.000
[1763917955938 ms] VEL 0.000 0.000
[1763917955960 ms] POS 50.000 50.000
[1763917955963 ms] VEL 0.000 0.000
[1763917955985 ms] POS 50.000 50.000
[1763917955986 ms] VEL 0.000 0.000
[1763917956007 ms] POS 50.000 50.000
[1763917956008 ms] VEL 0.000 0.000
[1763917956029 ms] POS 50.000 50.000
[1763917956030 ms] VEL 0.000 0.000
[1763917956051 ms] POS 50.000 50.000
[1763917956052 ms] VEL 0.000 0.000
[1763917956073 ms] POS 50.000 50.000
[1763917956074 ms] VEL 0.000 0.000
[1763917956095 ms] POS 50.000 50.000
[1763917956096 ms] VEL 0.000 0.000
[1763917956117 ms] POS 50.000 50.000
[1763917956117 ms] VEL 0.000 0.000
[1763917956139 ms] POS 50.000 50.000
[1763917956141 ms] VEL 0.000 0.000
[1763917956165 ms] POS 50.000 50.000
[1763917956166 ms] VEL 0.000 0.000
[1763917956188 ms] POS 50.000 50.000
[1763917956189 ms] VEL 0.000 0.000
[1763917956210 ms] POS 50.000 50.000
[1763917956211 ms] VEL 0.000 0.000
[1763917956232 ms] POS 50.000 50.000
[1763917956233 ms] VEL 0.000 0.000
[1763917956254 ms] POS 50.000 50.000
[1763917956254 ms] VEL 0.000 0.000
[1763917956276 ms] POS 50.000 50.000
[1763917956276 ms] VEL 0.000 0.000
[1763917956297 ms] POS 50.000 50.000
[1763917956298 ms] VEL 0.000 0.000
[1763917956319 ms] POS 50.000 50.000
[1763917956321 ms] VEL 0.000 0.000
[1763917956342 ms] POS 50.000 50.000
[1763917956343 ms] VEL 0.000 0.000
[1763917956364 ms] POS 50.000 50.000
[1763917956366 ms] VEL 0.000 0.000
[1763917956388 ms] POS 50.000 50.000
[1763917956388 ms] VEL 0.000 0.000
[1763917956409 ms] POS 50.000 50.000
[1763917956411 ms] VEL 0.000 0.000
[1763917956432 ms] POS 50.000 50.000
[1763917956434 ms] VEL 0.000 0.000
[1763917956455 ms] POS 50.000 50.000
[1763917956456 ms] VEL 0.000 0.000
[1763917956477 ms] POS 50.000 50.000
[1763917956478 ms] VEL 0.000 0.000
[1763917956500 ms] POS 50.000 50.000
[1763917956500 ms] VEL 0.000 0.000
[1763917956521 ms] POS 50.000 50.000
[1763917956521 ms] VEL 0.000 0.000
[1763917956543 ms] POS 50.000 50.000
[1763917956545 ms] VEL 0.000 0.000
[1763917956568 ms] POS 50.000 50.000
[1763917956569 ms] VEL 0.000 0.000
[1763917956590 ms] POS 50.000 50.000
[1763917956591 ms] VEL 0.000 0.000
[1763917956612 ms] POS 50.000 50.000
[1763917956612 ms] VEL 0.000 0.000
[1763917956634 ms] POS 50.000 50.000
[1763917956634 ms] VEL 0.000 0.000
[1763917956655 ms] POS 50.000 50.000
[1763917956656 ms] VEL 0.000 0.000
[1763917956677 ms] POS 50.000 50.000
[1763917956679 ms] VEL 0.000 0.000
[1763917956700 ms] POS 50.000 50.000
[1763917956703 ms] VEL 0.000 0.000
[1763917956725 ms] POS 50.000 50.000
[1763917956726 ms] VEL 0.000 0.000
[1763917956748 ms] POS 50.000 50.000
[1763917956749 ms] VEL 0.000 0.000
[1763917956770 ms] POS 50.000 50.000
[1763917956771 ms] VEL 0.000 0.000
[1763917956792 ms] POS 50.000 50.000
[1763917956793 ms] VEL 0.000 0.000
[1763917956814 ms] POS 50.000 50.000
[1763917956817 ms] VEL 0.000 0.000
[1763917956839 ms] POS 50.000 50.000
[1763917956841 ms] VEL 0.000 0.000
[1763917956863 ms] POS 50.000 50.000
[1763917956867 ms] VEL 0.000 0.000
[1763917956891 ms] POS 50.000 50.000
[1763917956894 ms] VEL 0.000 0.000
[1763917956915 ms] POS 50.000 50.000
[1763917956916 ms] VEL 0.000 0.000
[1763917956936 ms] POS 50.000 50.000
[1763917956937 ms] VEL 0.000 0.000
[1763917956959 ms] POS 50.000 50.000
[1763917956959 ms] VEL 0.000 0.000
[1763917956980 ms] POS 50.000 50.000
[1763917956982 ms] VEL 0.000 0.000
[1763917957005 ms] POS 50.000 50.000
[1763917957018 ms] VEL 0.000 0.000
[1763917957040 ms] POS 50.000 50.000
[1763917957041 ms] VEL 0.000 0.000
[1763917957061 ms] POS 50.000 50.000
[1763917957062 ms] VEL 0.000 0.000
[1763917957082 ms] POS 50.000 50.000
[1763917957083 ms] VEL 0.000 0.000
[1763917957104 ms] POS 50.000 50.000
